,location,date,time,harassment_type,reported_by,description
301,"Melbourne, Australia",2021-10-19,10:03:48,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
302,"Yokohama, Japan",2023-10-19,05:44:05,extortion,victim,A suspect blackmailed a businessman for protection fees.
303,"Dhanbad, India",2020-04-11,05:55:24,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
304,"Kalyan-Dombivli, India",2022-08-26,03:44:20,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
305,"Melbourne, Australia",2023-08-03,04:42:14,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
306,"Guwahati, India",2023-09-15,17:18:28,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
307,"Visakhapatnam, India",2024-03-10,11:53:52,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
308,"Aurangabad, India",2021-08-04,20:10:59,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
309,"Delhi, India",2023-08-26,21:25:50,robbery,non-victim,A suspect threatened the victim and stole their belongings.
310,"Coimbatore, India",2023-08-24,23:20:52,arson,victim,"A building was deliberately set on fire, causing significant damage."
311,"Paris, France",2021-10-25,23:01:19,homicide,victim,A suspect was arrested in connection with a murder case.
312,"Surat, India",2022-09-02,02:57:17,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
313,"Bhopal, India",2023-06-07,07:52:20,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
314,"Saitama, Japan",2022-06-28,23:18:03,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
315,"Cardiff, UK",2021-06-02,06:17:55,counterfeiting,non-victim,Fake currency notes were found in a local shop.
316,"Nashik, India",2024-09-29,19:21:16,fraud,victim,The victim was scammed into transferring money to a fake account.
317,"Lyon, France",2023-10-27,03:11:56,robbery,victim,The victim was attacked and had their wallet taken by force.
318,"Birmingham, UK",2022-10-03,15:12:48,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
319,"Pimpri-Chinchwad, India",2024-03-08,18:35:28,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
320,"Logan City, Australia",2023-05-06,11:04:51,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
321,"Jabalpur, India",2024-08-11,02:24:31,burglary,victim,The victim reported unauthorized entry into their apartment.
322,"Delhi, India",2020-12-08,14:07:36,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
323,"Nagpur, India",2022-11-05,00:01:31,domestic_violence,victim,The victim reported repeated physical abuse at home.
324,"Varanasi, India",2022-01-12,13:06:54,arson,non-victim,The victim’s property was intentionally burned down.
325,"Dhanbad, India",2021-10-27,08:10:10,counterfeiting,non-victim,A large batch of fake identification documents was seized.
326,"San Jose, USA",2024-12-06,04:09:44,counterfeiting,non-victim,A large batch of fake identification documents was seized.
327,"Yokohama, Japan",2020-09-25,20:52:45,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
328,"Tokyo, Japan",2024-03-26,21:25:27,drug_offense,non-victim,Police seized a large quantity of banned drugs.
329,"Bangalore, India",2020-09-11,00:37:09,extortion,non-victim,The victim received threats demanding money for safety.
